flyktingar,invandrare,flyktingarna,asyl,uppehållstillstånd,asylsökande,rasism,stanna,medborgare,invandrarverket,diskriminering,flykting,invandrarna,migrationsverket,återvända,medborgarskap,invandring,rasistiska,visum,hemlandet
kvinnan,kvinna,sexuella,kvinnans,övergrepp,nnåriga,mannen,sexuellt,våldtäkt,samlag,prostituerade,nnårig,trakasserier,sexuell,mannens,utsatts,våldtäkter,prostitution,utnyttjande,övergreppen
fängelse,dömdes,grovt,skadestånd,straff,månaders,grov,dömts,böter,misshandel,domen,straffet,straffarbete,tingsrätten,dömde,års,tingsrätt,brott,hovrätten,dömd
polisen,misstänkt,greps,misstänkta,förhör,misstänks,häktad,häktade,erkänt,gripits,anhölls,häktades,förhören,släpptes,anhållen,misstänkte,misshandel,anhållna,nnårig,på_fri_fot
brott,straff,grova,justitieminister,kriminella,brottslighet,brottsligheten,begått,brottslingar,anstalten,intagna,rikspolisstyrelsen,rymde,begår,fängelset,långholmen,permission,brotten,justitieministern,kriminalitet
kommun,kommunala,kommunen,kommuner,kommunerna,kommunal,kommunens,landsting,daghem,kommunernas,fullmäktige,kommunalt,kommunalrådet,kommunfullmäktige,kommunalråd,statsbidrag,kommunförbundet,kommunstyrelsen,skolor,nämnder
skolan,lärare,elever,skola,eleverna,skolor,skolans,skolorna,lärarna,rektor,läraren,elev,rektorn,undervisningen,undervisning,eleven,elevernas,klasser,mobbning,skolverket
människan,människa,naturen,människans,mänskliga,livets,människorna,levande,mänsklig,själ,värld,mänskligheten,själen,tillvaron,naturens,väsen,natur,medmänniskor,mänskligt,mänsklighetens
fångar,röda_korset,mänskliga_rättigheter,fångarna,fängelset,lägret,tortyr,suttit,fängelse,fängslade,fånge,dödsstraff,nicaragua,fängelser,läger,fängslad,rättegång,arresterades,cell,fången
eu,eg,bryssel,medlemskap,europeiska,eec,unionen,emu,folkomröstning,europa,eukommissionen,folkomröstningen,gemensamma,kommissionen,inträde,gemenskapen,union,europeisk,euparlamentet,efta
mamma,föräldrar,pappa,hustru,bror,syster,make,mormor,farfar,morfar,syskon,farmor,förälder,lillebror,mammas,storebror,pappas,barnfamiljerna,lillasyster,syskonen
född,närmast,avlidit,maka,barnbarn,ålder,sörjande,samt,avled,gift,sörjes,gammal,syskon,makan,verksam,dottern,sonen,make,änka,f
lo,fackliga,saf,tco,arbetsgivarna,saco,tjänstemännen,organisationerna,löntagarna,löner,tjänstemän,sif,förbund,arbetsmarknaden,lönerna,fackföreningsrörelsen,löneökningar,avtalsrörelsen,metall,sr
arbetare,arbetarna,strejken,strejk,konflikten,facket,anställda,strejkande,fackliga,strejker,arbetarnas,konflikt,fackföreningarna,tjänstemän,vilda,fackförbund,arbetsgivaren,fackligt,berör,arbetsdomstolen
jobb,arbetslösa,arbetsmarknaden,arbetslösheten,arbetslöshet,arbetsgivare,försäkringskassan,sysselsättning,arbetskraft,jobben,arbetsförmedlingen,arbetslivet,arbetslös,ams,arbetsmarknadsstyrelsen,arbetskraften,anställa,arbetsmarknad,sysselsättningen,anställning
kvinnor,män,kvinnorna,kvinnliga,manliga,männen,kvinnors,homosexuella,kvinnornas,jämställdhet,kvinnlig,kvinna,männens,kön,manlig,mäns,kvinnligt,manligt,könen,jämställdheten
kr,milj,proc,belopp,uppgår,uppgick,sammanlagt,resp,oförändrat,varav,beloppet,avskrivningar,netto,redovisas,utgjorde,ökats,uppgått,sammanlagda,vartill,fjolåret
finansminister,skatter,sträng,finansministern,sänka,skatten,skatterna,höja,sänkt,skatt,höjda,finansdepartementet,feldt,sänkta,sänkning,kjell_olof_feldt,skattesänkningar,sänkas,inkomster,momsen
socialdemokraterna,folkpartiet,centern,moderaterna,borgerliga,högern,folkpartiets,socialdemokraternas,centerpartiet,centerns,socialdemokrater,fälldin,vpk,partierna,bohman,olof_johansson,moderaternas,gösta_bohman,bengt_westerberg,thorbjörn_fälldin
valet,röster,val,rösta,mandat,röstade,majoritet,väljarna,väljare,rösterna,valen,kandidater,parti,röstar,kandidat,röstat,omröstningen,kandidaterna,valdagen,partier
riksdagen,riksdagens,utskottet,kammaren,ledamöter,motion,riksdag,riksdagsman,motioner,talman,riksdagsmän,ledamöterna,motionen,utskott,majoritet,förslag,riksdagshuset,propositionen,riksdagsmännen,talmannen
miljöpartiet,vänsterpartiet,socialdemokraterna,alliansen,sd,moderaterna,mp,partiledare,fredrik_reinfeldt,stefan_löfven,sverigedemokraterna,kristdemokraterna,socialdemokraternas,valet,partiet,riksdagen,kd,väljare,parti,rödgröna
polisen,poliser,polisens,polis,poliserna,polisman,polismän,polismannen,polismännen,kommissarie,polisstationen,polisstation,polismästare,stockholmspolisen,polishuset,polismästaren,polisbil,gripa,kriminalen,polisdistrikt
is,terrorister,muslimska,muslimer,islam,al,attacken,säkerhetspolisen,terrorism,dödades,attentat,terroristerna,attacker,ahmed,islamiska,bin,terrordåd,abu,terror,omar
kultur,värden,kulturella,kulturen,identitet,tradition,mångfald,västerländska,traditioner,rötter,natur,värderingar,kulturer,kulturell,kommersiella,kulturellt,bevara,kulturens,institutioner,samhälle
bostäder,lägenheter,hyra,hyresgästerna,fastigheter,hyresgäster,hyran,boende,lägenheterna,hyrorna,bostad,hsb,hyror,småhus,bostadsbyggandet,hyresgästföreningen,fastighetsägare,lägenhet,hyreshus,kvadratmeter
irak,irakiska,bagdad,iranska,teheran,iraks,trump,president,saddam_hussein,kurdiska,irans,donald,persiska_viken,mellanöstern,regimen,saddam,trumps,kurder,ali,persiska
soldater,syrien,strider,dödades,striderna,gerillan,beirut,styrkor,dödats,trupper,syriska,civila,rebellerna,armen,stridsvagnar,sårade,libanesiska,damaskus,eld,gränsen
israel,israeliska,israels,palestinska,jerusalem,kairo,arabiska,egyptiska,judiska,mellanöstern,palestinier,palestinierna,plo,gaza,ockuperade,västbanken,palestina,israelisk,arafat,israelerna
dotter,född,maka,kyrka,kyrkoherde,präster,fröken,vigseln,middag,bibeln,brudens,förrättades,lördagen,komminister,ingenjör,framlidne,stud,gavs,jordfästes,sjöng
västtyskland,berlin,västtyska,bonn,tyska,östtyskland,östtyska,brandt,willy,hamburg,frankfurt,adenauer,förbundskansler,ddr,tysklands,västtysklands,västtysk,munchen,köln,strauss
socialstyrelsen,förste,e,o,samt,distrikt,medicinalstyrelsen,landstingen,socialminister,rektor,ordinarie,läroverk,förordnats,adjunkt,socialministern,lektor,g,f,läroverket,uppehålla
svenskarna,kedjan,försvaret,center,laget,spelade,anfallet,putte,agne,ch,hi,kurre,kedja,kock,bäste,hamrin,simonsson,centern,vy,andersson
helsingfors,finska,finlands,finländska,finsk,kekkonen,finnarna,åbo,finske,finländare,matti,finländsk,finländarna,finländaren,modersmål,finskt,tammerfors,koivisto,finländske,finlandssvenska
jugoslavien,bosnien,jugoslaviska,belgrad,kosovo,tito,serbiska,sarajevo,kroatien,serbien,president,albanien,serberna,balkan,jugoslaviens,konflikten,kroatiska,bosniska,haag,serber
frank,me,johnny,my,it,love,you,lady,on,do,big,lee,white,go,don,blue,get,young,rose,little
svensk,svenska,medborgare,svenske,utländsk,bosatt,härkomst,damtidning,gahrton,sverige,mästare,per_gahrton,realityserie,svensken,press,osvenskt,stegö,gahrtons,exportindustri,filmindustri
tio,tolv,elva,fem,åtta,sju,dagar,tretton,femton,stycken,sex,nicklas,sexton,minuters,tjugo,atta,brunzell,fyra,edsvurna,budorden
teater,teatern,pjäsen,pjäs,skådespelare,dramaten,premiär,föreställning,stadsteater,scen,föreställningen,scenen,pjäser,föreställningar,teaterns,uppsättning,regissör,skådespelarna,regissören,stadsteatern
rätt,rader,slätt,tipset,kuponger,tipstjänst,tippa,tips,utdelning,tippar,fordra,tior,orätt,laglig,lotto,kupongerna,tippade,tia,tippat,garanterar
styrka,försvara,angrepp,strid,försvar,anfall,attack,styrkan,motstånd,fiende,striden,hot,angripa,fiender,händelse,svaghet,häftigt,häftiga,möta,fienden
högre,lägre,lön,tjänar,löner,lönen,arbetstid,timmen,timmars,lönerna,kortare,arbetstiden,arbetsdag,månadslön,betalda,övertid,tjänade,arbetstider,arbetsgivare,procents
lilla,liten,byn,by,byns,prick,byborna,minsta,formatet,gumman,idyll,orten,emilia,pärla,idylliska,hörn,gumma,bybor,ortens,söt
stod,kom,väntade,plötsligt,bar,gick,satt,dök,höll,hände,försvann,följde,tog,mötte,väntande,förde,hämtade,rullade,styrde,började
lars,roger,lindgren,barbro,lind,lundgren,björn,urban,molin,noren,bäckström,forssell,westman,peterson,ivarsson,ahlin,rut,ralph,nylen,madsen
finns,anledning,utrymme,finnas,kvar,tillgå,tillgängligt,uppsjö,annanstans,hake,återvändo,orosmoln,dagsläget,rötägg,eldsjälar,inskriven,smärtgräns,haken,krem,fihns
betydelse,avgörande,stor,inflytande,vikt,faktor,viktig,utvecklingen,faktorer,betydelsen,fortsatta,faktorn,väsentlig,sammanhanget,utgör,dominerande,praktisk,utöva,inflytandet,betydelsefull
två,tre,halvt,dygn,tält,dagar,dussin,diana,nära,utanför,fyra,tältet,husvagn,ross,sekel,camping,rullande,dygns,husvagnar,husvagnen
väder,vädret,grader,regn,norrland,södra,luft,vindar,väntas,svealand,götaland,temperaturen,mm,varmare,skandinavien,varmt,gr,smhi,soligt,lågtryck
går,morgon,kväll,island,tidig,måns,isländska,startar,let,möts,reykjavik,eftermiddag,islands,måndag,afton,dance,inleder,kvällens,hannes,lets
budskap,tydligt,handling,medvetet,budskapet,agera,agerande,strategi,tydlig,företrädare,uppfattas,omvärlden,medveten,utspel,föra,agerar,markera,närvaro,uppenbart,ses
