flyktingar,invandrare,flyktingarna,asyl,uppehållstillstånd,asylsökande,rasism,invandrarverket,flykting,invandrarna,diskriminering,migrationsverket,invandring,rasistiska,invandringen,medborgarskap,visum,zigenare,utvisas,arbetstillstånd
kvinnan,kvinna,sexuella,kvinnans,övergrepp,sexuellt,våldtäkt,samlag,prostituerade,trakasserier,sexuell,nnåriga,våldtäkter,prostitution,övergreppen,porr,våldtäkten,prostituerad,våldtagen,pornografi
fängelse,dömdes,skadestånd,dömts,böter,grovt,grov,månaders,straffet,misshandel,straff,straffarbete,dagsböter,döms,dömde,domen,dömas,fängelsestraff,dömd,tingsrätten
misstänkt,greps,misstänkta,förhör,polisen,misstänks,häktad,häktade,anhölls,häktades,gripits,anhållen,förhören,anhållna,erkänt,anhållits,på_fri_fot,nekar,gripandet,misstankarna
brott,grova,justitieminister,brottslighet,kriminella,brottsligheten,straff,brottslingar,anstalten,intagna,rikspolisstyrelsen,rymde,begått,långholmen,permission,begår,kriminalitet,kriminalvården,brotten,interner
kommunen,kommunala,kommun,kommuner,kommunerna,kommunal,kommunens,daghem,landsting,kommunernas,kommunalt,kommunalrådet,fullmäktige,kommunfullmäktige,kommunalråd,kommunförbundet,kommunstyrelsen,statsbidrag,nämnder,kommunstyrelsens
skolan,lärare,elever,skola,eleverna,skolor,skolans,skolorna,lärarna,läraren,elev,rektor,rektorn,eleven,mobbning,elevernas,skolverket,undervisningen,skolstyrelsen,klassrum
människan,människans,naturen,människa,livets,mänsklig,mänskliga,mänskligheten,själ,människorna,själen,medmänniskor,naturens,varelse,mänsklighetens,levande,väsen,varelser,tillvaron,ande
fångar,röda_korset,mänskliga_rättigheter,fångarna,lägret,tortyr,fängelset,fängslade,dödsstraff,fånge,fängslad,nicaragua,amnesty,avrättades,fängelser,fången,arresterades,dödsstraffet,friges,krigsfångar
eu,eg,bryssel,medlemskap,eec,unionen,emu,europeiska,eukommissionen,folkomröstning,euparlamentet,medlemsländerna,euländer,efta,folkomröstningen,gemenskapen,unionens,union,inträde,medlemsländer
mamma,föräldrar,pappa,hustru,bror,syster,make,mormor,farfar,morfar,farmor,förälder,lillebror,mammas,storebror,barnfamiljerna,syskon,pappas,lillasyster,storasyster
född,avlidit,närmast,barnbarn,sörjande,maka,sörjes,makan,ålder,avled,syskon,gift,änka,verksam,avlade,tjänstgjorde,innehade,dottern,bortgångne,sonhustru
lo,saf,fackliga,tco,saco,arbetsgivarna,löntagarna,tjänstemännen,organisationerna,sif,avtalsrörelsen,löneökningar,ptk,avtalsrörelse,tjänstemännens,förbunden,tcos,fackföreningsrörelsen,lönerna,arbetsgivareföreningen
arbetare,arbetarna,strejken,strejk,facket,konflikten,strejkande,strejker,arbetarnas,fackföreningarna,arbetsdomstolen,fackliga,fackförbund,strejkar,gruvarbetarna,fackföreningar,blockad,fackförening,fackligt,strejka
arbetslösa,jobb,arbetsmarknaden,arbetslösheten,arbetslöshet,arbetsgivare,försäkringskassan,arbetsförmedlingen,ams,arbetslivet,jobben,arbetslös,arbetsmarknadsstyrelsen,arbetsmarknad,sysselsättning,arbetskraften,arbetskraft,akassan,arbetsmarknadsminister,anställa
kvinnor,män,kvinnorna,kvinnliga,manliga,kvinnors,homosexuella,männen,kvinnornas,jämställdhet,männens,mäns,manligt,kvinnligt,kvinnlig,könen,jämställdheten,manlig,kön,homosexualitet
kr,milj,proc,uppgick,uppgår,belopp,avskrivningar,netto,oförändrat,uppgått,nettovinst,nettot,beloppet,nettovinsten,ökats,sammanlagt,resp,redovisas,avsatts,tillhopa
finansminister,finansministern,skatter,sträng,sänka,skatterna,skatten,sänkt,finansdepartementet,feldt,sänkta,skattesänkningar,höjda,kjell_olof_feldt,sänkning,höja,momsen,sänkas,gunnar_sträng,skattereformen
socialdemokraterna,folkpartiet,centern,moderaterna,folkpartiets,högern,centerns,centerpartiet,fälldin,socialdemokraternas,socialdemokrater,bohman,vpk,olof_johansson,borgerliga,gösta_bohman,bengt_westerberg,moderaternas,moderater,centerledaren
röster,rösta,valet,mandat,val,röstade,rösterna,kandidater,valen,väljarna,röstar,väljare,majoritet,kandidat,röstat,omröstningen,valdagen,kandidaterna,valdeltagandet,röstberättigade
riksdagen,riksdagens,utskottet,kammaren,motion,ledamöter,motioner,riksdagsmän,motionen,riksdag,talman,utskott,riksdagsman,ledamöterna,riksdagsmännen,riksdagshuset,utskottets,talmannen,kammare,propositionen
miljöpartiet,vänsterpartiet,alliansen,sd,mp,fredrik_reinfeldt,stefan_löfven,sverigedemokraterna,kristdemokraterna,kd,rödgröna,alf_svensson,reinfeldt,miljöpartiets,partiledare,gudrun_schyman,socialdemokraterna,kds,löfven,moderaterna
polisen,poliser,polisens,polis,poliserna,polisman,polismän,polismannen,polismännen,polisstationen,kommissarie,polismästare,polisstation,stockholmspolisen,polismästaren,polishuset,polisdistrikt,stockholmspolisens,polisbil,konstapel
terrorister,islam,muslimer,muslimska,terrorism,attacken,säkerhetspolisen,is,terroristerna,al,attentat,ahmed,terrordåd,omar,bin_ladin,terrorismen,islamiska,bin,al_qaida,abu
kultur,värden,kulturella,kulturen,identitet,mångfald,västerländska,traditioner,kulturer,kulturell,rötter,tradition,kulturellt,kulturens,kulturlivet,kommersiella,värderingar,västerländsk,bildning,natur
lägenheter,bostäder,hyresgästerna,hyresgäster,hyran,hyra,fastigheter,lägenheterna,hyrorna,hsb,hyror,hyresgästföreningen,fastighetsägare,bostadsbyggandet,boende,småhus,bostadsrätter,bostadsförmedlingen,hyreshus,bostäderna
irak,irakiska,bagdad,iranska,teheran,iraks,saddam_hussein,kurdiska,trump,irans,donald,persiska_viken,saddam,trumps,kurder,persien,persiska,kurderna,shahen,pkk
syrien,soldater,striderna,strider,gerillan,beirut,syriska,dödats,dödades,rebellerna,styrkor,libanesiska,stridsvagnar,trupper,sårade,damaskus,rebeller,artilleri,sårades,civila
israel,israeliska,israels,palestinska,jerusalem,kairo,egyptiska,arabiska,palestinier,palestinierna,plo,gaza,västbanken,palestina,israelisk,mellanöstern,arafat,israelerna,ockuperade,judiska
dotter,maka,kyrkoherde,född,präster,vigseln,kyrka,bibeln,brudens,förrättades,jordfästes,framlidne,komminister,fröken,middag,stud,kyrkomarskalkar,vigselförrättare,tärna,kapell
västtyskland,berlin,västtyska,bonn,östtyska,östtyskland,brandt,willy,frankfurt,adenauer,ddr,hamburg,förbundskansler,tyska,västtysklands,västtysk,köln,cdu,västtyske,munchen
socialstyrelsen,medicinalstyrelsen,förste,landstingen,socialminister,distrikt,socialministern,förordnats,adjunkt,e,äldreomsorgen,läroverket,uppehålla,läroverk,vård_och_omsorg,adjunkten,lektor,o,förordnande,samrealskolan
svenskarna,kedjan,center,agne,putte,försvaret,kurre,hi,anfallet,hamrin,simonsson,vy,cf,kedja,kock,nalle,ch,inner,laget,högerytter
helsingfors,finska,finlands,finländska,finsk,kekkonen,finnarna,finske,åbo,matti,finländare,finländsk,finländarna,modersmål,finskt,finländaren,tammerfors,koivisto,finländske,finlandssvenska
jugoslavien,bosnien,jugoslaviska,belgrad,kosovo,tito,serbiska,sarajevo,kroatien,serbien,albanien,serberna,balkan,jugoslaviens,kroatiska,bosniska,serber,milosevic,albanska,makedonien
frank,johnny,my,love,me,lady,you,white,big,it,go,do,lee,blue,story,get,on,young,sinatra,rose
svensk,svenska,medborgare,utländsk,svenske,damtidning,gahrton,härkomst,bosatt,realityserie,per_gahrton,osvenskt,stegö,gahrtons,chilö,naturaliserad,undersåte,damtidnings,byggtjänst,exportindustri
tio,tolv,elva,åtta,tretton,fem,sju,femton,dagar,nicklas,stycken,brunzell,edsvurna,sexton,budorden,minuters,atta,sex,dussinet,budord
teater,teatern,pjäs,pjäsen,dramaten,skådespelare,stadsteater,pjäser,teaterns,stadsteatern,uppsättning,skådespelarna,föreställning,dramatens,föreställningar,riksteatern,premiär,föreställningen,teatrar,teaterchefen
rätt,rader,slätt,kuponger,tipstjänst,tipset,tippa,fordra,tippar,tior,kupongerna,lotto,orätt,tippade,tippat,utdelning,ggr,laglig,gissat,tolva
styrka,försvara,angrepp,strid,anfall,fiende,styrkan,försvar,attack,angripa,svaghet,fiender,häftigt,häftiga,fienden,motstånd,angreppet,striden,försvarar,angreppen
högre,lägre,lön,tjänar,löner,arbetstid,lönen,timmen,arbetstiden,arbetsdag,lönerna,månadslön,timmars,betalda,kortare,övertid,arbetstider,socialgrupp,arbetsvecka,arbetstidsförkortning
